[2026-07-23 12:53:46,977][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/allenai/ai2_arc/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-07-23 12:53:47,318][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/allenai/ai2_arc/210d026faf9955653af8916fad021475a3f00453/README.md "HTTP/1.1 200 OK"
[2026-07-23 12:53:47,580][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/allenai/ai2_arc/resolve/210d026faf9955653af8916fad021475a3f00453/ai2_arc.py "HTTP/1.1 404 Not Found"
[2026-07-23 12:53:48,503][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/allenai/ai2_arc/allenai/ai2_arc.py "HTTP/1.1 404 Not Found"
[2026-07-23 12:53:48,781][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/allenai/ai2_arc/revision/210d026faf9955653af8916fad021475a3f00453 "HTTP/1.1 200 OK"
[2026-07-23 12:53:49,045][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/allenai/ai2_arc/resolve/210d026faf9955653af8916fad021475a3f00453/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-07-23 12:53:49,045][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-07-23 12:53:49,710][httpx][INFO] - HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=allenai/ai2_arc "HTTP/1.1 200 OK"
[2026-07-23 12:53:50,002][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/allenai/ai2_arc/tree/210d026faf9955653af8916fad021475a3f00453/ARC-Challenge?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-07-23 12:53:50,276][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/allenai/ai2_arc/tree/210d026faf9955653af8916fad021475a3f00453?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-07-23 12:53:50,561][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/allenai/ai2_arc/resolve/210d026faf9955653af8916fad021475a3f00453/dataset_infos.json "HTTP/1.1 404 Not Found"
[2026-07-23 12:53:50,719][pytensor.configparser][INFO] - Suppressed KeyError in PyTensorConfigParser.add for parameter 'cxx'!
[2026-07-23 12:53:50,719][pytensor.configparser][INFO] - Suppressed KeyError in PyTensorConfigParser.add for parameter 'gcc_version_str'!
[2026-07-23 12:53:50,719][pytensor.configparser][INFO] - Suppressed KeyError in PyTensorConfigParser.add for parameter 'compile__timeout'!
[2026-07-23 12:53:50,720][pytensor.configparser][INFO] - Suppressed KeyError in PyTensorConfigParser.add for parameter 'DebugMode__check_c'!
[2026-07-23 12:53:50,720][pytensor.configparser][INFO] - Suppressed KeyError in PyTensorConfigParser.add for parameter 'compiledir'!
[2026-07-23 12:53:50,815][pytensor.configparser][INFO] - Suppressed KeyError in PyTensorConfigParser.add for parameter 'blas__ldflags'!
[2026-07-23 12:53:50,832][pytensor.configdefaults][WARNING] - g++ not available, if using conda: `conda install gxx`
[2026-07-23 12:53:51,551][arviz][INFO] - Found 'auto' as default backend, checking available backends
[2026-07-23 12:53:51,552][arviz][INFO] - Matplotlib is available, defining as default backend
[2026-07-23 12:53:52,038][arviz][INFO] - arviz_base 1.2.0 available, exposing its functions as part of the `arviz` namespace
[2026-07-23 12:53:52,197][arviz][INFO] - arviz_stats 1.2.0 available, exposing its functions as part of the `arviz` namespace
[2026-07-23 12:53:52,257][arviz][INFO] - arviz_plots 1.2.0 available, exposing its functions as part of the `arviz` namespace
[2026-07-23 12:53:52,494][pymc.sampling.mcmc][INFO] - Initializing NUTS using jitter+adapt_diag...
[2026-07-23 12:53:53,659][pymc.sampling.mcmc][INFO] - Multiprocess sampling (4 chains in 4 jobs)
[2026-07-23 12:53:53,659][pymc.sampling.mcmc][INFO] - NUTS: [alpha, beta]
[2026-07-23 12:54:53,298][pymc.sampling.mcmc][INFO] - Sampling 4 chains for 1_000 tune and 1_000 draw iterations (4_000 + 4_000 draws total) took 60 seconds.
[2026-07-23 12:54:53,424][pymc.sampling.mcmc][INFO] - Initializing NUTS using jitter+adapt_diag...
